01_AUS,Australia
02_BD,Brunnei Darussalam
03_CDA,Canada
04_CHL,Chile
05_PRC,China
06_HKC,"Hong Kong, China"
07_INA,Indonesia
08_JPN,Japan
09_ROK,Korea
10_MAS,Malaysia
11_MEX,Mexico
12_NZ,New Zealand
13_PNG,Papua New Guinea
14_PE,Peru
15_RP,The Philippines
16_RUS,Russia
17_SIN,Singapore
18_CT,Chinese Taipei
19_THA,Thailand
20_USA,United States
21_VN,Viet Nam
22_SEA,Southeast Asia
23_NEA,Northeast Asia
23b_ONEA,Other northeast Asia
24_OAM,Other Americas
24b_OOAM,Other Americas (not including Canada)
25_OCE,Oceania
APEC,APEC
