Coal,#323232
Oil,#bebebe
Gas,#1e465a
Other renewables,#3c7896
Biomass,#28825a
Hydrogen,#ffcc5c
Electricity,#56b1bf
Heat,#626262
Others,#C36517
Industry,#424242
Transport,#828282
Buildings,#bebebe
Agriculture,#1e465a
Non-energy,#3c7896
Non-specified,#a5cdf0
Services,#1e465a
Residential,#3c7896
Iron & steel,#828282
Chemicals,#1e465a
Aluminium,#bebebe
Non-metallic minerals,#323232
Mining,#3c7896
Pulp & paper,#ffcc5c
Jet fuel,#bebebe
LPG,#d73a31
Gasoline,#a5cdf0
Diesel,#323232
Renewables,#3c7896
Aviation,#a5cdf0
Road,#828282
Rail,#bebebe
Marine,#3c7896
Pipeline,#d73a31
Geothermal,#828282
Hydro,#4F81BD
Lignite,#8c0000
Nuclear,#d73a31
Solar,#ffcc5c
Wind,#a5cdf0
Imports,#424242
Exports,#a5cdf0
Fuel oil,#a5cdf0
Power,#C36517
Refining,#8c0000
Production,#828282
Stock change,#bebebe
Net trade,#1e465a
Bunkers,#3c7896
Crude oil & NGL,#8c0000
Modern renewables,#ffcc5c
Non modern renewables,#1e465a
Own-use and losses,#56b1bf
Biojet kerosene,#C36517
Total,#323232
Metallurgical coal,#3c7896
Thermal coal,#323232
Refined products,#a5cdf0
Biofuels,#28825a
Crude oil and NGL,#8c0000
Electricity and heat,#56b1bf
Liquid and solid renewables,#28825a
Total renewables,#ffcc5c
Ocean,#828282
Construction,#8c0000
Electricity output,#56b1bf
Freight road,#a5cdf0
Heat output,#626262
Non-specified_industry,#56b1bf
Non-specified_transport,#56b1bf
Other_industry,#C36517
Passenger road,#4F81BD
Statistical discrepancy,#a5cdf0
TFC,#828282
TFEC,#828283
TPES,#828284
Transfers,#828285
Transformation,#56b1bf
