economy,economy_name,alt_aperc_code,alt_aperc_code2,region1,region2_test,region3_aperc_code
01_AUS,Australia,,01AUS,Oceania,Australasia,25OCE
02_BD,Brunei Darussalam,,02BD,Southeast Asia,Southeast Asia,22SEA
03_CDA,Canada,,03CDA,Other Americas,North America,24OAM
04_CHL,Chile,,04CHL,Other Americas,Latin America,24OAM
05_PRC,China,,05PRC,China,China,05PRC
06_HKC,Hong Kong,,06HKC,Northeast Asia,Northeast Asia,23NEA
07_INA,Indonesia,,07INA,Southeast Asia,Southeast Asia,22SEA
08_JPN,Japan,,08JPN,Northeast Asia,Northeast Asia,23NEA
09_ROK,Korea,,09ROK,Northeast Asia,Northeast Asia,23NEA
10_MAS,Malaysia,,10MAS,Southeast Asia,Southeast Asia,22SEA
11_MEX,Mexico,,11MEX,Other Americas,Latin America,24OAM
12_NZ,New Zealand,,12NZ,Oceania,Australasia,25OCE
13_PNG,Papua New Guinea,,13PNG,Oceania,Papua New Guinea,25OCE
14_PE,Peru,,14PE,Other Americas,Latin America,24OAM
15_RP,Philippines,15_PHL,15PHL,Southeast Asia,Southeast Asia,22SEA
16_RUS,Russia,,16RUS,Russia,Russia,16RUS
17_SIN,Singapore,17_SGP,17SGP,Southeast Asia,Southeast Asia,22SEA
18_CT,Chinese Taipei,,18CT,Northeast Asia,Northeast Asia,23NEA
19_THA,Thailand,,19THA,Southeast Asia,Southeast Asia,22SEA
20_USA,USA,,20USA,USA,North America,20USA
21_VN,Viet Nam,,21VN,Southeast Asia,Southeast Asia,22SEA
