Monthly Gas Data Collection in APEC Region

Sector : Imports
Energy : of which:pipeline
Unit : TJ

Member/Month	Jan.2006	Feb.2006	Mar.2006	Apr.2006	May2006	Jun.2006	Jul.2006	Aug.2006	Sep.2006	Oct.2006	Nov.2006	Dec.2006	Jan.2007	Feb.2007	Mar.2007	Apr.2007	May2007	Jun.2007	Jul.2007	Aug.2007	Sep.2007	Oct.2007	Nov.2007	Dec.2007	Jan.2008	Feb.2008	Mar.2008	Apr.2008	May2008	Jun.2008	Jul.2008	Aug.2008	Sep.2008	Oct.2008	Nov.2008	Dec.2008	Jan.2009	Feb.2009	Mar.2009	Apr.2009	May2009	Jun.2009	Jul.2009	Aug.2009	Sep.2009	Oct.2009	Nov.2009	Dec.2009	Jan.2010	Feb.2010	Mar.2010	Apr.2010	May2010	Jun.2010	Jul.2010	Aug.2010	Sep.2010	Oct.2010	Nov.2010	Dec.2010	Jan.2011	Feb.2011	Mar.2011	Apr.2011	May2011	Jun.2011	Jul.2011	Aug.2011	Sep.2011	Oct.2011	Nov.2011	Dec.2011	Jan.2012	Feb.2012	Mar.2012	Apr.2012	May2012	Jun.2012	Jul.2012	Aug.2012	Sep.2012	Oct.2012	Nov.2012	Dec.2012	Jan.2013	Feb.2013	Mar.2013	Apr.2013	May2013	Jun.2013	Jul.2013	Aug.2013	Sep.2013	Oct.2013	Nov.2013	Dec.2013	Jan.2014	Feb.2014	Mar.2014	Apr.2014	May2014	Jun.2014	Jul.2014	Aug.2014	Sep.2014	Oct.2014	Nov.2014	Dec.2014	Jan.2015	Feb.2015	Mar.2015	Apr.2015	May2015	Jun.2015	Jul.2015	Aug.2015	Sep.2015	Oct.2015	Nov.2015	Dec.2015	Jan.2016	Feb.2016	Mar.2016	Apr.2016	May2016	Jun.2016	Jul.2016	Aug.2016	Sep.2016	Oct.2016	Nov.2016	Dec.2016	Jan.2017	Feb.2017	Mar.2017	Apr.2017	May2017	Jun.2017	Jul.2017	Aug.2017	Sep.2017	Oct.2017	Nov.2017	Dec.2017	Jan.2018	Feb.2018	Mar.2018	Apr.2018	May2018	Jun.2018	Jul.2018	Aug.2018	Sep.2018	Oct.2018	Nov.2018	Dec.2018	Jan.2019	Feb.2019	Mar.2019	Apr.2019	May2019	Jun.2019	Jul.2019	Aug.2019	Sep.2019	Oct.2019	Nov.2019	Dec.2019	Jan.2020	Feb.2020	Mar.2020	Apr.2020	May2020	Jun.2020	Jul.2020	Aug.2020	Sep.2020	Oct.2020	Nov.2020	Dec.2020	Jan.2021	Feb.2021	Mar.2021	Apr.2021	May2021	Jun.2021	Jul.2021	Aug.2021	Sep.2021	Oct.2021	Nov.2021	Dec.2021	Jan.2022	Feb.2022	Mar.2022	Apr.2022	May2022	Jun.2022	Jul.2022	Aug.2022	Sep.2022	Oct.2022	Nov.2022	Dec.2022	Jan.2023	Feb.2023	Mar.2023	Apr.2023	May2023	Jun.2023	Jul.2023	Aug.2023	Sep.2023	Oct.2023	Nov.2023	Dec.2023	Jan.2024	Feb.2024	Mar.2024	Apr.2024	May2024	Jun.2024	Jul.2024	Aug.2024	Sep.2024	Oct.2024	Nov.2024	Dec.2024
Australia	-	-	-	-	-	-	-	22598	21586	19056	18129	21291	22556	21712	20405	22893	22050	23357	24242	20279	23820	5987	9275	22387	24031	23778	23778	21417	14587	24495	24326	25675	26476	23314	21122	22050	24495	23441	22387	23483	18719	25170	25001	25760	24959	22303	21375	19478	21965	16442	22134	25170	12353	8095	12353	24706	25465	24031	23736	24200	24706	24031	20869	22134	20743	24495	30482	35246	35667	32927	24621	35878	39799	42160	40853	45406	42034	0	22766	49833	46376	43636	44943	42582	44057	44690	40684	42076	44900	47936	47641	48695	49285	43256	39377	41949	24199	24410	23272	23904	25380	25970	26265	24410	21965	0	21079	23989	25801	25886	22555	25211	24916	26771	26223	23609	26729	25043	26097	28036	25675	26434	0	0	24790	26560	25928	26476	26982	14039	23187	23904	25169	24494	22218	24326	19125	20551	24738	22149	19454	14432	22619	22197	25446	25615	23167	25151	24813	0	16880	25784	25784	22787	25235	23800	22998	25024	23041	24771	15487	19369	14474	18610	24391	14432	13757	16626	20678	23885	21310	24475	23716	24475	23716	24518	24475	23716	24518	23716	24518	24602	21986	24349	22408	15614	21184	21057	22914	18061	19454	19960	19580	16837	15107	11309	10170	8060	6921	5148	7469	8229	7638	4431	4557	4093	2785	5612	4937	4768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-
Brunei Darussalam	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-
Canada	-	-	-	-	-	-	-	18686	24699	33328	50422	45736	46792	48909	40084	16907	24287	25555	17503	18686	24699	33328	50422	45736	41778	33937	49651	32185	36681	31666	28608	23462	26823	34809	62779	72793	66234	71263	81328	72361	53815	51240	23195	34066	39278	29775	67367	47468	71278	67137	70641	47442	61025	59549	45919	54218	55397	71188	56298	100256	96235	100213	104978	87794	85643	90515	73223	86829	84787	76385	95845	95221	94362	74446	106478	91097	95544	83167	85360	64205	100215	90987	92968	82126	114458	87345	100813	73225	89466	77365	72520	74390	77869	77463	68859	54984	94260	95149	105830	68229	55450	54446	61204	50256	57591	39736	67198	79508	80381	86370	96387	52176	48407	44250	41686	44988	63675	60177	58890	61815	66495	62400	80223	63414	64974	53118	54171	58617	65598	45474	74139	103311	95238	106914	94912	98128	79381	78950	73341	50908	69302	62830	69890	58712	82401	72243	85853	107306	73734	78636	84284	92951	97972	75969	100286	85931	81970	92755	80372	91657	73156	63352	63352	69960	163378	70650	77557	104328	98875	77054	84300	73208	66824	63426	70271	59063	62062	69854	78914	84498	80116	72965	88373	76319	69594	68168	67223	71289	72600	62188	77571	112434	82926	75764	97430	75228	71732	60988	70376	78719	63087	71875	95874	102192	108055	97921	108763	78958	78281	72119	73579	64577	68304	66766	74932	85574	67382	65295	68081	97920	62357	62295	50866	48468	43048	43048	-	-
Chile	17526	15768	24783	9655	18305	9556	9043	8250	13703	16772	15738	13106	17465	11876	9240	15917	12526	7477	6457	4491	5460	3477	4333	4668	4414	6014	6020	5315	6162	1525	556	2237	434	2439	2715	8434	8187	5679	7954	5229	1970	539	1011	1053	2607	2413	3420	4368	5366	3001	2643	1713	1715	2724	0	505	701	1010	544	1011	1441	6651	585	546	0	544	0	39	506	0	780	351	39	78	117	312	233	233	117	195	155	117	117	78	78	62	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	360	440	1160	1120	720	280	240	200	480	1640	2080	6280	5200	5840	6800	7840	7240	4560	2160	2880	3080	7120	5880	8280	9760	8240	11240	8920	3720	560	0	0	1000	1840	1600	1120	1480	1680	896	16	0	0	0	0	0	6408	7832	7788	9440	8888	0	9760	2956	2112	3884	6484	7328	9120	0	10992	12480	10164	10992	10184	6924	4756	2688	4264	3624	8425	7152	5840	10880	11360	12120	9844	6436	6080	5024	4652	5620	-	-	-
China	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-	-	-	-	-	-	-	-	-	-	NA	NA	NA	NA	176964	159838	161002	165738	120160	123119	124303	63927	190006	117200	116016	137917	153638	153638	136142	136142	172249	150348	155675	149164	147388	132590	147980	169289	171988	155344	160410	203029	193558	197109	191190	181128	192374	159818	187639	174024	210452	170744	170473	184087	185271	176984	178168	186455	184087	146796	174616	180536	202382	192429	161594	155675	154373	150348	136911	201549	173551	148454	151827	214926	172787	145684	182548	202437	194801	217235	216998	224278	229073	190006	226113	237952	180084	158474	198708	221260	245351	230553	234400	244404	251625	211671	230393	217886	163962	163962	207498	249246	250287	262268	263327	269939	263866	214133	245605	251442	232705	197580	243326	241178	282156	284228	293569	309237	305058	236117	-	-
Hong Kong, China	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6780	8545	9133	8624	8421	8197	7958	8842	7913	7939	8074	7583	7115	9659	10741	11163	9614	9265	9215	7017	7963	8493	6193	7498	8603	9389	11280	10508	9998	8487	9712	9714	8768	11174	10540	11075	10052	12081	11896	12005	11664	11693	11001	8138	6814	8236	8310	9089	8994	8667	10283	9202	9402	9541	9982	6399	5385	8541	8525	9204	9352	9205	9477	9055	9107	7657	7188	6286	5151	7513	7321	7806	7978	10028	10460	9979	8274	9392	8531	5961	5920	7487	7844	8008	8702	9986	8222	8158	7712	7553	8081	6917	6827	9702	9563	11621	12613	12350	13421	12015	9979	10171	8477	4928	5834	8174	10146	13880	13984	12724	12500	12588	11913	11945	8170	6974	6223	8454	9657	12181	14313	12657	12776	12411	11825	10245	8586	8615	6346	7968	10953	11861	11922	12633	12688	10651	10550	9795	9280	10468	7086	8659	10156	10780	13239	13708	13436	11827	9199	9876	9438	13608	11870	14378	12702	18387	18381	20073	18979	17391	17401	14912	13663	13009	10354	15281	16409	15775	18802	20281	19273	18069	16010	14049	14278	14332	10330	12553	16100	15700	17741	19986	19706	16885	16707	13756	13267	10252	12226	14358	14645	17524	18479	17482	16855	16126	15921	14033	13634	13341	12084	15302	15568	16922	17718	17849	16766	16998	15834	-	-
Indonesia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Japan	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-
Republic of Korea	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	6618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-
Malaysia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1441	7714	1063	NA	NA	NA	NA	NA	NA	NA	-	-	8100	8109	8425	8698	936	NA	NA	NA	NA	NA	NA	NA	1178	7423	8335	16805	8118	8638	5910	7633	7687	7953	7900	865	6886	NA	17775	8645	8378	8005	NA	8378	8271	7898	8645	0	0	NA	9179	0	NA	NA	NA	NA	4589	2775	11260	6617	4749	4749	3415	NA	NA	NA	NA	1921	0	4216	0	2241	4216	2455	2188	0	3202	0	5977	2882	2615	2028	2668	0	3042	2455	0	3949	1868	0	3789	1921	1441	1708	1921	1814	1761	2188	2081	2348	2188	1868	1761	1974	2135	1974	2188	1974	2295	1387	1281	1371	1227	1334	1281	1334	1334	1227	1334	1174	1548	1441	1174	1334	1281	1121	1121	1121	1121	961	1281	1334	1441	1281	1174	0	1227	1281	1227	1121	0	15	0	43	38	0	10	0	53	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	-	-
