Monthly Gas Data Collection in APEC Region

Sector : Imports
Energy : of which:LNG
Unit : TJ

Member/Month	Jan.2006	Feb.2006	Mar.2006	Apr.2006	May2006	Jun.2006	Jul.2006	Aug.2006	Sep.2006	Oct.2006	Nov.2006	Dec.2006	Jan.2007	Feb.2007	Mar.2007	Apr.2007	May2007	Jun.2007	Jul.2007	Aug.2007	Sep.2007	Oct.2007	Nov.2007	Dec.2007	Jan.2008	Feb.2008	Mar.2008	Apr.2008	May2008	Jun.2008	Jul.2008	Aug.2008	Sep.2008	Oct.2008	Nov.2008	Dec.2008	Jan.2009	Feb.2009	Mar.2009	Apr.2009	May2009	Jun.2009	Jul.2009	Aug.2009	Sep.2009	Oct.2009	Nov.2009	Dec.2009	Jan.2010	Feb.2010	Mar.2010	Apr.2010	May2010	Jun.2010	Jul.2010	Aug.2010	Sep.2010	Oct.2010	Nov.2010	Dec.2010	Jan.2011	Feb.2011	Mar.2011	Apr.2011	May2011	Jun.2011	Jul.2011	Aug.2011	Sep.2011	Oct.2011	Nov.2011	Dec.2011	Jan.2012	Feb.2012	Mar.2012	Apr.2012	May2012	Jun.2012	Jul.2012	Aug.2012	Sep.2012	Oct.2012	Nov.2012	Dec.2012	Jan.2013	Feb.2013	Mar.2013	Apr.2013	May2013	Jun.2013	Jul.2013	Aug.2013	Sep.2013	Oct.2013	Nov.2013	Dec.2013	Jan.2014	Feb.2014	Mar.2014	Apr.2014	May2014	Jun.2014	Jul.2014	Aug.2014	Sep.2014	Oct.2014	Nov.2014	Dec.2014	Jan.2015	Feb.2015	Mar.2015	Apr.2015	May2015	Jun.2015	Jul.2015	Aug.2015	Sep.2015	Oct.2015	Nov.2015	Dec.2015	Jan.2016	Feb.2016	Mar.2016	Apr.2016	May2016	Jun.2016	Jul.2016	Aug.2016	Sep.2016	Oct.2016	Nov.2016	Dec.2016	Jan.2017	Feb.2017	Mar.2017	Apr.2017	May2017	Jun.2017	Jul.2017	Aug.2017	Sep.2017	Oct.2017	Nov.2017	Dec.2017	Jan.2018	Feb.2018	Mar.2018	Apr.2018	May2018	Jun.2018	Jul.2018	Aug.2018	Sep.2018	Oct.2018	Nov.2018	Dec.2018	Jan.2019	Feb.2019	Mar.2019	Apr.2019	May2019	Jun.2019	Jul.2019	Aug.2019	Sep.2019	Oct.2019	Nov.2019	Dec.2019	Jan.2020	Feb.2020	Mar.2020	Apr.2020	May2020	Jun.2020	Jul.2020	Aug.2020	Sep.2020	Oct.2020	Nov.2020	Dec.2020	Jan.2021	Feb.2021	Mar.2021	Apr.2021	May2021	Jun.2021	Jul.2021	Aug.2021	Sep.2021	Oct.2021	Nov.2021	Dec.2021	Jan.2022	Feb.2022	Mar.2022	Apr.2022	May2022	Jun.2022	Jul.2022	Aug.2022	Sep.2022	Oct.2022	Nov.2022	Dec.2022	Jan.2023	Feb.2023	Mar.2023	Apr.2023	May2023	Jun.2023	Jul.2023	Aug.2023	Sep.2023	Oct.2023	Nov.2023	Dec.2023	Jan.2024	Feb.2024	Mar.2024	Apr.2024	May2024	Jun.2024	Jul.2024	Aug.2024	Sep.2024	Oct.2024	Nov.2024	Dec.2024
Australia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24537	23272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-
Brunei Darussalam	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-
Canada	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15870	6533	-	-	-	-	-	-	-	-	-	9222	24540	15329	18376	6125	6126	9167	9244	3082	6164	9091	9207	12635	12248	9089	3120	7704	3121	3043	0	6124	0	3123	9216	9215	6093	9409	3161	6285	231	6132	1542	193	0	0	0	0	3186	3030	0	2953	0	6179	0	0	0	2952	0	3263	3069	8120	0	3147	0	3613	0	0	0	2964	0	3120	6513	3276	390	0	0	312	351	351	0	351	273	2730	2340	4040	0	3216	0	0	0	0	0	0	0	0	0	4785	0	0	0	0	0	0	0	0	0	0	0	0	6704	3569	0	0	0	0	3020	3099	0	0	14472	0	4050	3142	0	0	3131	0	3202	2974	0	3205	9457	7264	3072	20	24	3089	21	23	25	1639	2918	26	5890	6	0	20	11	32	0	0	0	26	6118	11	0	0	9	1559	3030	19	9	9	3053	0	8	8	7211	3855	0	77	126	69	72	64	3936	3936	-	-
Chile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3226	0	6341	3385	5013	4407	5872	4287	7464	10046	8342	8871	12588	10028	11678	8664	11394	14549	13318	11358	17035	12252	12673	16198	13870	14523	11842	8966	11617	6588	11639	11455	16272	12395	16547	7666	10806	14984	10480	14188	9852	11061	18497	7122	15418	18168	10710	8676	14203	10728	14573	6684	12572	9401	14444	8382	17025	12832	14753	12743	12197	0	9646	12346	8487	11978	7200	16880	13280	17920	15120	18480	13680	12200	9600	2080	9280	4040	11480	11720	15640	13280	15440	20560	20680	19320	9800	11240	12400	9520	15840	12600	16400	18960	15440	19800	18400	18560	13240	9640	6400	9640	9880	15880	12640	15160	19520	19600	16240	19400	13040	10280	12760	6520	9800	9200	13840	13800	12800	13120	11080	12880	10160	6680	10600	7240	6400	11160	10600	10880	15160	10680	19800	22200	11360	10840	6920	10600	6560	10320	7800	15560	18280	22080	14480	20080	15640	12520	5120	5000	10800	4440	13640	8480	19520	11520	18000	14840	10040	10680	15920	5120	4920	4360	5120	3920	5200	5920	2280	6360	2770	3640	2440	5160	2680	6080	3880	9600	11000	11640	11000	6120	7560	-	-	-
China	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	44927	44927	44927	-	-	-	-	-	-	-	-	-	-	43836	38509	49011	49594	56596	60680	68849	61264	67098	49594	75267	88103	75850	48428	65931	61847	66515	70599	77601	63598	80518	77017	63014	106774	88103	82268	73516	91020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-	-	-	-	-	-	-	-	-	-	NA	NA	NA	NA	134045	121073	100626	111873	84645	130814	94707	133774	149756	108913	157451	220786	180385	180385	117792	117792	128447	179944	184679	185863	204212	211315	240320	297736	284573	257034	192374	200661	245647	234992	245647	278794	258669	272283	354560	372318	356854	289523	240320	268732	262221	268140	288857	307206	301879	239136	385340	382380	337708	321099	248014	301702	309811	342899	297973	352607	339229	297203	391259	449504	359211	302864	333961	398125	416238	335737	335737	393745	399546	365215	408425	451635	318032	279868	273941	257485	291580	285483	280393	279386	349055	238662	380232	390430	267686	267686	317447	282151	379592	352666	346818	372797	336649	305975	402588	497284	345066	292980	393490	365343	388688	328946	345032	386950	404713	387917	-	-
Hong Kong, China	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	0	0	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2886	0	6756	66	3227	3286	2934	0	3331	0	3216	3391	3814	3277	7864	3662	3242	3374	-	-
Indonesia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Japan	-	-	-	-	-	-	-	329860	271592	300355	267781	290289	326244	291066	287918	257715	328227	289471	306536	317342	288384	327680	303156	315749	324667	316672	344945	312343	284811	309808	330907	311525	320534	300527	286097	338901	321897	286721	316048	287540	231146	281963	293974	293038	309963	260435	282859	355671	327474	329268	366396	301462	261644	307468	306142	348456	329893	285044	314254	344985	347052	341826	364407	328099	329737	340071	349860	412024	366006	336132	381098	391511	444979	418615	443653	377042	388859	362964	390458	403094	389210	363900	363900	420682	449307	410815	422593	399138	363539	364678	419649	410415	372694	426604	408569	457803	463107	425190	455406	408333	367743	386093	443697	399099	411948	393244	389315	467508	477449	437645	460671	373519	325818	375523	393559	399846	391515	342831	378981	457292	410140	420789	461339	361299	312615	354384	372419	437292	377645	355602	427115	427390	469984	440985	461025	372065	353205	350179	386014	410965	329590	347507	363028	450298	467744	469512	449237	317527	362753	313990	385739	428805	355169	370140	359177	410690	427272	416152	413048	318588	315287	294344	382164	345307	364482	356663	355012	385307	425314	425386	408112	294174	259270	297860	341703	330625	368214	336452	340751	437146	440915	441401	389903	272133	270952	312175	338562	344527	295976	253195	320778	384889	371245	388839	355854	304928	315110	317511	337165	343237	291286	278262	303528	331604	373273	350192	313091	247798	252406	247797	278421	310347	302314	296135	291595	355350	334209	329574	303601	289119	266526	249850	307472	313424	297048	289507	276246	-
Republic of Korea	-	-	-	-	-	-	-	65456	65742	88464	113164	152225	154585	115041	151914	115731	100262	66855	75156	77464	96472	109229	113013	155639	178571	162595	177813	105698	115201	77627	96559	87833	90642	104707	134285	167136	171981	145394	136252	106740	72501	80002	57290	62163	69003	132889	139053	183657	194217	178445	192253	119780	115069	107569	97935	122523	123961	151490	201524	209472	200795	202558	213209	125526	151997	114020	114581	114020	151099	180925	138631	223608	221654	197493	215388	155402	121192	120361	156118	123656	146391	147740	151621	216617	245940	230959	223426	193581	155987	159674	130485	172337	147977	161942	187013	208472	253347	220213	233067	162848	120244	134816	115464	138584	124373	145460	168044	228264	214379	178590	164345	148119	135911	104003	108683	125661	139276	166250	155324	166113	197224	167148	209348	112889	125080	125249	111760	128736	119032	177197	187592	202892	239873	193372	194318	127988	136042	167073	162496	140771	132734	139944	180509	213560	228317	233295	247048	166210	153701	182073	154585	134598	141925	182870	202359	241375	220714	173459	169889	167047	158252	160831	157990	172708	138802	153067	212929	237846	241674	239988	215368	175505	165728	126595	131404	112073	149438	207405	205077	228293	243407	289107	236818	165260	180191	165550	227460	194600	201177	210959	187619	233192	262958	206417	262076	185511	179717	145743	180006	212103	204676	241872	245654	245654	258472	289244	248644	176531	174281	157458	144692	189863	168241	160762	220121	267537	273256	217393	221473	214021	187556	189521	172404	191026	184566	257033	-	-
Malaysia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5445	9768	3257	9074	18362	6512	3203	9235	NA	6726	3415	6244	9872	NA	0	10139	9659	3255	0	0	NA	6777	6884	NA	NA	NA	NA	6777	6937	6350	6724	0	6617	3255	NA	NA	NA	NA	10193	6564	6404	6884	1921	0	3522	6937	6350	13768	6991	3255	7524	10086	7097	6564	3202	3736	0	3148	6884	10193	3362	3362	7044	0	17023	3255	6617	3309	6457	3469	12968	13341	16436	20439	9712	13555	16810	6510	8592	11847	12968	10299	16370	11153	14782	10033	16543	13928	9712	8005	5123	6671	3202	9552	9499	6457	0	3255	1387	1174	3042	0	1227	3149	0	1494	10780	5283	19531	15689	24441	16543	10513	13394	13021	6404	7951	13928	6617	11100	0	9926	6991	9766	6510	13234	9979	13128	13181	16490	9926	7097	20439	17557	17077	17877	0	-	-
