Monthly Gas Data Collection in APEC Region

Sector : Exports
Energy : of which:pipeline
Unit : TJ

Member/Month	Jan.2006	Feb.2006	Mar.2006	Apr.2006	May2006	Jun.2006	Jul.2006	Aug.2006	Sep.2006	Oct.2006	Nov.2006	Dec.2006	Jan.2007	Feb.2007	Mar.2007	Apr.2007	May2007	Jun.2007	Jul.2007	Aug.2007	Sep.2007	Oct.2007	Nov.2007	Dec.2007	Jan.2008	Feb.2008	Mar.2008	Apr.2008	May2008	Jun.2008	Jul.2008	Aug.2008	Sep.2008	Oct.2008	Nov.2008	Dec.2008	Jan.2009	Feb.2009	Mar.2009	Apr.2009	May2009	Jun.2009	Jul.2009	Aug.2009	Sep.2009	Oct.2009	Nov.2009	Dec.2009	Jan.2010	Feb.2010	Mar.2010	Apr.2010	May2010	Jun.2010	Jul.2010	Aug.2010	Sep.2010	Oct.2010	Nov.2010	Dec.2010	Jan.2011	Feb.2011	Mar.2011	Apr.2011	May2011	Jun.2011	Jul.2011	Aug.2011	Sep.2011	Oct.2011	Nov.2011	Dec.2011	Jan.2012	Feb.2012	Mar.2012	Apr.2012	May2012	Jun.2012	Jul.2012	Aug.2012	Sep.2012	Oct.2012	Nov.2012	Dec.2012	Jan.2013	Feb.2013	Mar.2013	Apr.2013	May2013	Jun.2013	Jul.2013	Aug.2013	Sep.2013	Oct.2013	Nov.2013	Dec.2013	Jan.2014	Feb.2014	Mar.2014	Apr.2014	May2014	Jun.2014	Jul.2014	Aug.2014	Sep.2014	Oct.2014	Nov.2014	Dec.2014	Jan.2015	Feb.2015	Mar.2015	Apr.2015	May2015	Jun.2015	Jul.2015	Aug.2015	Sep.2015	Oct.2015	Nov.2015	Dec.2015	Jan.2016	Feb.2016	Mar.2016	Apr.2016	May2016	Jun.2016	Jul.2016	Aug.2016	Sep.2016	Oct.2016	Nov.2016	Dec.2016	Jan.2017	Feb.2017	Mar.2017	Apr.2017	May2017	Jun.2017	Jul.2017	Aug.2017	Sep.2017	Oct.2017	Nov.2017	Dec.2017	Jan.2018	Feb.2018	Mar.2018	Apr.2018	May2018	Jun.2018	Jul.2018	Aug.2018	Sep.2018	Oct.2018	Nov.2018	Dec.2018	Jan.2019	Feb.2019	Mar.2019	Apr.2019	May2019	Jun.2019	Jul.2019	Aug.2019	Sep.2019	Oct.2019	Nov.2019	Dec.2019	Jan.2020	Feb.2020	Mar.2020	Apr.2020	May2020	Jun.2020	Jul.2020	Aug.2020	Sep.2020	Oct.2020	Nov.2020	Dec.2020	Jan.2021	Feb.2021	Mar.2021	Apr.2021	May2021	Jun.2021	Jul.2021	Aug.2021	Sep.2021	Oct.2021	Nov.2021	Dec.2021	Jan.2022	Feb.2022	Mar.2022	Apr.2022	May2022	Jun.2022	Jul.2022	Aug.2022	Sep.2022	Oct.2022	Nov.2022	Dec.2022	Jan.2023	Feb.2023	Mar.2023	Apr.2023	May2023	Jun.2023	Jul.2023	Aug.2023	Sep.2023	Oct.2023	Nov.2023	Dec.2023	Jan.2024	Feb.2024	Mar.2024	Apr.2024	May2024	Jun.2024	Jul.2024	Aug.2024	Sep.2024	Oct.2024	Nov.2024	Dec.2024
Australia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	25048	25048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-
Brunei Darussalam	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	66	145	208	208	200	126	211	101	156	187	132	105	98	113	107	102	147	26	30	85	123	148	145	54	117	52	50	49	10	0	34	44	19	42	41	37	60	56	35	23	60	71	81	9	0	27	0	20	27	47	21	29	33	21	22	48	74	91	28	41	39	66	29	59	38	22	66	18	12	82	51	67	56	22	17	3	9	38	33	32	20	14	10	10	14	22	21	13	23	18	18	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	5	5	0	2	5	0	0	0	0	0	0	4	37	29	16	6	39	20	74	19	55	28	40	56	70	95	75	31	9	35	16	0	0	9	33	34	43	1	6	3	4	1	-
Canada	-	-	-	-	-	-	-	347122	315615	326649	311149	347929	342733	340336	337577	305514	312090	314323	345762	349143	318199	330155	311149	394432	385414	347581	334761	311868	292234	321454	353981	385977	299757	316341	324594	351416	388013	394216	326419	400288	235072	253103	307012	307326	338864	317251	280407	339026	351318	298079	388403	315377	278380	271649	306807	310901	301406	292606	283575	354594	371304	316373	311866	279833	276773	275180	312859	296257	273376	283647	263841	310202	327266	281543	284246	274038	283129	286743	310471	299108	283802	276065	249805	282977	290542	258050	268409	246328	259522	260602	260845	263873	259168	243809	258878	290704	329945	273207	262418	227195	233354	224769	229093	236073	224065	241338	262491	285067	308314	276238	286363	237063	236830	231546	242346	237296	235703	251745	246714	252876	291174	263562	256464	260091	267462	256932	281580	277875	258843	244335	243360	297219	303810	270500	306896	267480	292307	263990	274579	269638	262460	270343	262656	291248	310073	255205	324310	355451	325918	281874	295523	263205	271520	259558	263205	254695	242615	269520	247178	264659	231135	226635	226635	251485	240941	234704	231902	238470	268716	252610	233047	209583	207890	205726	228235	233631	196086	221814	233461	290679	302907	285270	263119	234637	233171	235022	250059	255029	244161	257050	275679	276683	317498	283038	294887	280669	270184	267451	274934	262200	263862	258311	273409	322332	307294	272949	279281	247143	244223	260661	286979	278109	261216	263805	248765	273935	349743	298665	273077	255965	275866	283591	307973	299589	283045	283045	-	-
Chile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1160	4840	4720	3680	0	0	0	0	0	0	0	0	0	3480	3760	3760	0	80	0	0	0	0	0	0	160	160	880	1480	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-
China	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-	-	-	-	-	-	-	-	-	-	NA	NA	NA	NA	8086	7304	5327	10063	11246	22493	7103	14206	16574	11246	15982	15390	8708	8708	7103	7103	10063	13614	16574	14798	18941	16574	14206	11246	10574	9551	7103	9471	12430	13022	13022	14206	14206	14798	11838	13614	11438	9280	8879	9471	10063	13614	15982	13614	17758	14206	11838	13614	9206	8753	22404	16278	14680	21783	21913	23594	22132	26406	20682	10276	14656	12357	12075	17580	24624	21960	21960	23736	27643	21072	18113	16159	13419	11808	11661	13792	17758	18586	20421	21960	26400	19593	18172	16159	10426	10426	14123	15437	16988	19995	20948	22966	20836	16899	17692	16420	13260	11258	12407	18373	19095	19356	20232	20599	21102	18717	-	-
Hong Kong, China	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-
Indonesia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	122	121	139	113	139	18966	18966	17748	17421	17174	18401	15933	18936	19389	19389	18209	19253	21483	21266	16307	19155	21266	28964	27940	30466	30807	29364	31882	31933	23119	23258	22998	23653	24809	27510	25394	29566	29599	31488	29253	-	31385	30368	31521	27052	27807	50408	63334	52505	53438	47692	57327	42639	55784	50812	62118	46157	50993	35320	32698	37091	33342	35417	33891	34416	35112	34935	37306	75922	35690	35750	35750	35750	33769	33437	31903	32139	31398	32220	32846	28587	32702	35320	30001	32974	30611	32692	32692	35791	34106	35004	34262	32374	32913	31481	28141	30994	30241	28912	29427	30043	27862	29794	31674	30077	30570	28329	25913	28023	26811	27273	27352	27736	27532	28195	28500	28371	28189	27233	24501	27269	26204	27646	27524	28238	26993	26318	26533	25228	24516	26111	24206	25837	24195	26085	22964	24131	25455	24727	26545	25961	29329	28563	23534	24979	22833	22497	22013	22105	22511	24990	23210	22966	23288	30275	31844	25935	24216	24938	25348	22810	23680	23496	26700	29054	27292	29358	26572	29063	23236	24854	25498	25361	27344	26564	28942	27625	29444	23959	22130	24811	21864	16833	26576	21890	20712	19135	19059	19092	19857	17824	16147	15109	15454	16898	16120	12825	13541	13469	15026	13952	13890	13151	13595	12672	12325	12695	12415	13560	13020	15069	15403	-	-
Japan	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-
Republic of Korea	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-
Malaysia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	865	645	865	NA	NA	NA	NA	NA	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	134	365	264	299	1222	489	1014	183	0	0	0	107	160	NA	0	213	427	53	NA	160	267	107	0	0	0	NA	0	0	NA	NA	0	0	854	320	0	213	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	-	-
